Number,Name,IsPrivate,HasEngLangLearnerProg,HasFrenchImmersionProg,HasAborigSuppServices,HasContinuingEdProgram,HasDistributedLearnProg,HasCareerPrepProg,HasCoopProg,HasApprenticeshipProg,HasCareerTechnicalProg,Lat,Long,Address,URL
3939069,Lord Beaconsfield Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2521,-123.0527,3663 Penticton St,http://www.vsb.bc.ca/schools/lord-beaconsfield
3939008,Lord Byng Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,49.2596,-123.1925,3939 W 16th Av,http://www.vsb.bc.ca/schools/lord-byng
3939046,Lord Nelson Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2725,-123.0597,2235 Kitchener St,http://www.vsb.bc.ca/schools/lord-nelson
3939129,Lord Roberts Annex,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2831,-123.1298,1150 Nelson St,http://www.vsb.bc.ca/schools/roberts-annex
3939114,Lord Selkirk Annex,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2453,-123.0725,4444 Dumfries St,http://www.vsb.bc.ca/schools/selkirk-annex
3939028,Lord Strathcona Community Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2798,-123.0915,592 E Pender St,http://www.vsb.bc.ca/schools/lord-strathcona
3939003,Magee Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,49.2286,-123.1515,6360 Maple St,http://www.vsb.bc.ca/schools/magee
3939074,Maple Grove Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2294,-123.1515,6199 Cypress St,http://www.vsb.bc.ca/schools/maple-grove
3939127,Mount Pleasant Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.264,-123.094,2300 Guelph St,http://www.vsb.bc.ca/schools/mount-pleasant
3939012,Point Grey Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49.2373,-123.1534,5350 Eest Boulevard,http://www.vsb.bc.ca/schools/point-grey
3939019,Prince of Wales Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49.245,-123.1595,2250 Eddington Drive,http://www.vsb.bc.ca/schools/prince-wales
3939040,Queen Alexandra Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.262,-123.0759,1300 E Broadway,http://www.vsb.bc.ca/schools/queen-alexandra
3939110,Queen Elizabeth Annex,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2489,-123.1947,4275 Crown St,http://www.vsb.bc.ca/schools/queen-elizabeth-annex
3939041,Queen Mary Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2679,-123.2048,2000 Trimble St,http://www.vsb.bc.ca/http://www.vsb.bc.ca/schools/queen-mary
3939107,Queen Victoria Annex,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2672,-123.0663,1850 E 3rd Av,http://www.vsb.bc.ca/schools/queen-victoria-grandview-annex
3838047,Quilchena Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2372,-123.1516,5300 Maple St,http://www.vsb.bc.ca/schools/quilchena
4343023,R C Macdonald Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2807,-123.0647,1950 E Hastings St,http://www.vsb.bc.ca/schools/sir-william-macdonald
3939072,Shaughnessy Elementary,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2487,-123.1438,4250 Marguerite St,http://www.vsb.bc.ca/schools/shaughnessy
3939079,Sir Alexander Mackenzie Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2345,-123.0867,960 E 39th Av,http://www.vsb.bc.ca/schools/sir-alexander-mackenzie
3939093,Sir Charles Kingsford-Smith,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2216,-123.0557,6901 Elliott St,http://www.vsb.bc.ca/schools/sir-charles-kingsford-smith
3939030,Sir Guy Carleton Community Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2343,-123.0376,3250 Kingsway,http://www.vsb.bc.ca/schools/sir-guy-carleton
3939120,Sir James Douglas Annex,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2148,-123.0733,7668 Borden St,http://www.vsb.bc.ca/schools/sir-james-douglas-annex
3939066,Sir Sandford Fleming Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2257,-123.0766,1401 E 49th Av,http://www.vsb.bc.ca/schools/sir-sandford-fleming
3939033,Sir William Macdonald Community,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2308,-123.1327,5970 Selkirk St,http://www.vsb.bc.ca/schools/sir-william-osler
3939015,Sir Winston Churchill Secondary,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49.2211,-123.1256,7055 Heather St,http://www.vsb.bc.ca/schools/sir-winston-churchill
3939087,Southlands Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2381,-123.1978,5351 Camosun St,http://www.vsb.bc.ca/schools/southlands
3939102,Tecumseh Annex,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2371,-123.0731,1551 E 37th Av,http://www.vsb.bc.ca/schools/tecumseh-annex
3939050,Tecumseh Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2321,-123.068,1850 E 41st Av,http://www.vsb.bc.ca/schools/tecumseh
3939010,Templeton Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49.2784,-123.0607,727 Templeton Drive,http://www.vsb.bc.ca/schools/templeton
3939082,Thunderbird Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2636,-123.0319,2325 Cassiar St,http://www.vsb.bc.ca/schools/thunderbird
3939084,Trafalgar Elementary,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2502,-123.1646,4170 Trafalgar St,http://www.vsb.bc.ca/http://www.vsb.bc.ca/schools/trafalgar
4141069,University Highlands Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2748,-123.2374,5395 Chancellor Boulevard,http://www.vsb.bc.ca/schools/university-hill-elementary
3939011,Vancouver Technical Secondary,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,49.2608,-123.0513,2600 E Broadway,http://www.vsb.bc.ca/schools/vancouver-technical
3939056,Walter Moberly Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2161,-123.0843,1000 E 59th Av,http://www.vsb.bc.ca/schools/walter-moberly
3939099,Waverley Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2278,-123.0558,6111 Elliott St,http://www.vsb.bc.ca/schools/waverley
3939020,Windermere Community Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49.2465,-123.0372,3155 E 27th Av,http://www.vsb.bc.ca/schools/windermere

